text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"#UPElection2017: Ahead of #Phase5, #BJP makes final push with #VijayUtsav celebration

https://t.co/aC8Dx0yswz https://t.co/6nigLuJcD7",FALSE,4,NA,27-02-2017 02:35,FALSE,NA,8.36E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",firstpost,1,FALSE,FALSE,NA,NA
"LIVE l #UPElection2017: Fate of 8 ministers of @yadavakhilesh to be decided by voters today
https://t.co/j6d9DGSi45 https://t.co/GpUkxQJlSC",FALSE,17,NA,27-02-2017 02:31,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",abpnewstv,3,FALSE,FALSE,NA,NA
"#UPElection2017: @BJP4India, @BspUp2017, @INCIndia, @samajwadiparty candidates contesting on 51 seats… https://t.co/tQwByKAIaW",FALSE,25,NA,27-02-2017 02:16,TRUE,NA,8.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",abpnewstv,3,FALSE,FALSE,NA,NA
"Voting begins for 51 assembly seats in Phase-5 of #UPElection2017

Track #AssemblyElections2017 updates here:… https://t.co/6oOcI2cjYy",FALSE,13,NA,27-02-2017 01:30,TRUE,NA,8.36E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",ndtv,3,FALSE,FALSE,NA,NA
"RT @anilscribe: Home to #BajiraoMastani, #Bundelkhand is a forgotten postcard from the past 
#UPElection2017 
https://t.co/naphWo6DM1",FALSE,0,NA,27-02-2017 00:33,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",anilscribe,2,TRUE,FALSE,NA,NA
"RT @TheQuint: #Video | In this village, no voter ID card is made for single girls. #UPElection2017 https://t.co/RgDn6dOIjY",FALSE,0,NA,26-02-2017 20:38,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",svaksha,9,TRUE,FALSE,NA,NA
"RT @vidyarthee: Some pics from #RahulGandhi's campaign in Tindwari, Salon and Koraon assembly constituencies today #UPElection2017 https://…",FALSE,0,NA,26-02-2017 19:22,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",aadarshppawar,159,TRUE,FALSE,NA,NA
"Now the real political news would be in the week of March 9 - 13  .. #BMC mayoral results , #UPElection2017  results 
Good 10 days break !",FALSE,0,NA,26-02-2017 19:11,FALSE,NA,8.36E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tveedee,0,FALSE,FALSE,NA,NA
"RT @irkjain: After #DeMonetisation,@BJP4India is spreading incredibly Pan India <ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00B3> 

Now next target<ed><U+00A0><U+00BD><ed><U+00B1><U+0089><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>#UPElection2017 #UK #Goa #Manipur #Pu…",FALSE,0,NA,26-02-2017 18:27,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",irkjain,70,TRUE,FALSE,NA,NA
RT @lakshmi809: Poor Honey Bee..Feed Him <ed><U+00A0><U+00BD><ed><U+00B8><U+00A5> #SaveNature #environmentaljustice #Honeybees #Flowers #UPElection2017 #WINNER #RakulPreetSingh #…,FALSE,0,NA,26-02-2017 18:02,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mohsin_sheikh_,1,TRUE,FALSE,NA,NA
